令和3年経済センサス‐活動調査　製造業（地域別統計表データ）　令和5(2023)年12月15日訂正,,,,,,,,,,,
,,,,,,,,,,,
１．都道府県別、東京特別区・政令指定都市別統計表,,,,,,,,,,,
"Statistical Tables by Prefecture, Tokyo Special Wards and Government-designated Cities",,,,,,,,,,,
第１表  産業中分類別事業所数、従業者数、事業に従事する者の人件費及び派遣受入者に係る人材派遣会社への支払額、原材料・燃料・電力の使用額等、製造品出荷額等及び付加価値額（従業者４人以上の事業所）,,,,,,,,,,,
"Number of establishments, Number of employees, Total cash wages and salaries paid for persons engaged and temporary staff services, Cost of raw materials, fuels and electricity consumed, Value of manufactured goods shipments, and Value added, by Industry (2-digit industrial classification) (Establishments with 4 or more employees)",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,事業所数,従業者数,事業に従事する者の人件費及び派遣受入者に係る人材派遣会社への支払額,原材料・燃料・電力の使用額等,製造品出荷額等,付加価値額（従業者29人以下は粗付加価値額）
時間軸コード,年次,産業中分類コード,産業中分類名,都道府県、東京特別区・政令指定都市コード,都道府県、東京特別区・政令指定都市名,,人,百万円,百万円,百万円,百万円
2020000000,2020,10,飲料・たばこ・飼料製造業,38,愛媛県,41,735,2751,31757,57473,10229
2020000000,2020,10,飲料・たばこ・飼料製造業,39,高知県,45,629,2192,5610,12038,4602
2020000000,2020,10,飲料・たばこ・飼料製造業,40,福岡県,136,3510,16088,136017,487912,103270
2020000000,2020,10,飲料・たばこ・飼料製造業,41,佐賀県,49,1460,7355,89133,112636,17057
2020000000,2020,10,飲料・たばこ・飼料製造業,42,長崎県,48,692,2326,26435,34516,5877
2020000000,2020,10,飲料・たばこ・飼料製造業,43,熊本県,89,1758,8050,88284,131065,24891
2020000000,2020,10,飲料・たばこ・飼料製造業,44,大分県,61,1627,8063,33177,121680,47965
2020000000,2020,10,飲料・たばこ・飼料製造業,45,宮崎県,101,2569,9781,88593,177663,44126
2020000000,2020,10,飲料・たばこ・飼料製造業,46,鹿児島県,366,5844,19431,258393,378485,84546
2020000000,2020,10,飲料・たばこ・飼料製造業,47,沖縄県,84,1692,5724,28515,59598,15516
2020000000,2020,10,飲料・たばこ・飼料製造業,61,札幌市,17,581,2284,6957,25148,6830
2020000000,2020,10,飲料・たばこ・飼料製造業,62,仙台市,10,456,2311,19607,64442,24816
2020000000,2020,10,飲料・たばこ・飼料製造業,63,さいたま市,6,370,1378,40135,52300,7790
2020000000,2020,10,飲料・たばこ・飼料製造業,64,千葉市,4,92,319,4494,6833,2086
2020000000,2020,10,飲料・たばこ・飼料製造業,65,東京特別区,22,288,1147,5180,6739,1409
2020000000,2020,10,飲料・たばこ・飼料製造業,66,横浜市,14,478,2457,24385,108495,42541
2020000000,2020,10,飲料・たばこ・飼料製造業,67,川崎市,2,27,X,X,X,X
2020000000,2020,10,飲料・たばこ・飼料製造業,68,相模原市,3,42,126,109,383,15
2020000000,2020,10,飲料・たばこ・飼料製造業,69,新潟市,18,447,1917,3768,10372,4378
2020000000,2020,10,飲料・たばこ・飼料製造業,70,静岡市,92,2129,9217,65180,92118,23007
2020000000,2020,10,飲料・たばこ・飼料製造業,71,浜松市,16,197,432,1493,3011,1155
2020000000,2020,10,飲料・たばこ・飼料製造業,72,名古屋市,22,573,2747,46750,104670,19415
2020000000,2020,10,飲料・たばこ・飼料製造業,73,京都市,32,1612,8949,57475,586904,128186
2020000000,2020,10,飲料・たばこ・飼料製造業,74,大阪市,20,347,1690,15175,70687,37153
2020000000,2020,10,飲料・たばこ・飼料製造業,75,堺市,4,73,340,910,1780,788
2020000000,2020,10,飲料・たばこ・飼料製造業,76,神戸市,32,1668,7724,65557,200926,85785
2020000000,2020,10,飲料・たばこ・飼料製造業,77,岡山市,12,406,1939,25706,115468,47361
2020000000,2020,10,飲料・たばこ・飼料製造業,78,広島市,8,99,310,1441,2359,819
2020000000,2020,10,飲料・たばこ・飼料製造業,79,北九州市,15,392,1560,41038,57001,7794
2020000000,2020,10,飲料・たばこ・飼料製造業,80,福岡市,11,321,1867,20873,70175,13636
2020000000,2020,10,飲料・たばこ・飼料製造業,81,熊本市,12,393,1779,17756,22722,3558
2020000000,2020,11,繊維工業,00,全国計,9448,219843,678494,1848717,3452491,1356402
2020000000,2020,11,繊維工業,01,北海道,132,2468,5317,9648,22785,11537
2020000000,2020,11,繊維工業,02,青森県,99,4171,9272,8274,20927,11043
2020000000,2020,11,繊維工業,03,岩手県,121,3866,8732,10057,23577,11934
2020000000,2020,11,繊維工業,04,宮城県,95,2545,6020,5132,17043,10685
2020000000,2020,11,繊維工業,05,秋田県,199,5216,10667,17836,37452,17333
2020000000,2020,11,繊維工業,06,山形県,186,5608,13033,17539,42196,21198
2020000000,2020,11,繊維工業,07,福島県,217,5147,12748,25194,49413,21050
2020000000,2020,11,繊維工業,08,茨城県,107,2979,10363,32580,74506,35085
2020000000,2020,11,繊維工業,09,栃木県,181,2979,9780,30232,50960,18187
2020000000,2020,11,繊維工業,10,群馬県,223,3268,9135,19248,39478,17940
2020000000,2020,11,繊維工業,11,埼玉県,244,4604,14662,42988,75333,27744
2020000000,2020,11,繊維工業,12,千葉県,109,1923,5525,9498,25007,13689
2020000000,2020,11,繊維工業,13,東京都,337,3881,13415,32108,62463,27464
2020000000,2020,11,繊維工業,14,神奈川県,117,2443,9230,27203,47248,16120
2020000000,2020,11,繊維工業,15,新潟県,284,7830,21098,22295,62230,34801
2020000000,2020,11,繊維工業,16,富山県,125,3677,11171,26008,49259,19655
2020000000,2020,11,繊維工業,17,石川県,408,9072,30650,82730,156273,60675
2020000000,2020,11,繊維工業,18,福井県,488,14053,45343,100849,195880,80244
2020000000,2020,11,繊維工業,19,山梨県,69,1537,5153,14213,29415,13262
2020000000,2020,11,繊維工業,20,長野県,66,1877,4567,12037,21064,7417
2020000000,2020,11,繊維工業,21,岐阜県,369,7064,23701,82403,133884,44274
2020000000,2020,11,繊維工業,22,静岡県,228,5309,20349,60896,113552,42745
2020000000,2020,11,繊維工業,23,愛知県,763,16614,60345,182426,322946,114995
2020000000,2020,11,繊維工業,24,三重県,114,2469,8323,37931,57956,17442
2020000000,2020,11,繊維工業,25,滋賀県,219,6924,27425,115035,198144,70616
2020000000,2020,11,繊維工業,26,京都府,570,6992,24098,42882,90636,42210
2020000000,2020,11,繊維工業,27,大阪府,719,12503,44300,151270,275729,108000
2020000000,2020,11,繊維工業,28,兵庫県,257,6468,21586,66258,118617,43023
2020000000,2020,11,繊維工業,29,奈良県,182,4226,11443,33425,59184,21992
2020000000,2020,11,繊維工業,30,和歌山県,170,3554,10966,35169,60793,22509
2020000000,2020,11,繊維工業,31,鳥取県,55,2486,5689,6904,15676,7652
2020000000,2020,11,繊維工業,32,島根県,78,2189,5727,14241,26406,10163
2020000000,2020,11,繊維工業,33,岡山県,411,11166,31706,114336,198538,71088
2020000000,2020,11,繊維工業,34,広島県,293,6536,21056,75243,135253,51059
2020000000,2020,11,繊維工業,35,山口県,60,2423,9046,30406,47635,10047
2020000000,2020,11,繊維工業,36,徳島県,83,1674,4239,14620,20841,4849
2020000000,2020,11,繊維工業,37,香川県,118,2726,7920,19191,37207,16068
2020000000,2020,11,繊維工業,38,愛媛県,253,7865,27353,95619,184362,72868
2020000000,2020,11,繊維工業,39,高知県,47,1206,3827,10625,18720,7025
2020000000,2020,11,繊維工業,40,福岡県,189,3818,11019,24813,49946,21503
2020000000,2020,11,繊維工業,41,佐賀県,57,2235,5924,10869,21435,8741
2020000000,2020,11,繊維工業,42,長崎県,76,3256,7080,9170,23259,12244
2020000000,2020,11,繊維工業,43,熊本県,103,3063,8133,13040,27574,12475
2020000000,2020,11,繊維工業,44,大分県,52,1732,4302,10232,20550,8907
2020000000,2020,11,繊維工業,45,宮崎県,82,3956,12333,38012,74541,29297
2020000000,2020,11,繊維工業,46,鹿児島県,65,1713,3492,6792,13433,5810
2020000000,2020,11,繊維工業,47,沖縄県,28,532,1230,1241,3169,1739
2020000000,2020,11,繊維工業,61,札幌市,37,456,1130,1314,3629,2118
